"JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
"ACT","Major Cities of Australia",,"speed_fines","Fixed camera",907,,
"ACT","Major Cities of Australia",,"speed_fines","Mobile camera",278,,
"ACT","Major Cities of Australia","0-16","speed_fines","Fixed camera",15,,
"ACT","Major Cities of Australia","0-16","speed_fines","Mobile camera",8,,
"ACT","Major Cities of Australia","0-16","speed_fines","Police issued",35,,
"ACT","Major Cities of Australia","17-25","speed_fines","Fixed camera",5979,,
"ACT","Major Cities of Australia","17-25","speed_fines","Mobile camera",2325,,
"ACT","Major Cities of Australia","17-25","speed_fines","Police issued",703,,
"ACT","Major Cities of Australia","26-39","speed_fines","Fixed camera",13785,,
"ACT","Major Cities of Australia","26-39","speed_fines","Mobile camera",5336,,
"ACT","Major Cities of Australia","26-39","speed_fines","Police issued",829,,
"ACT","Major Cities of Australia","40-64","speed_fines","Fixed camera",23937,,
"ACT","Major Cities of Australia","40-64","speed_fines","Mobile camera",7286,,
"ACT","Major Cities of Australia","40-64","speed_fines","Police issued",613,,
"ACT","Major Cities of Australia","65 and over","speed_fines","Fixed camera",7352,,
"ACT","Major Cities of Australia","65 and over","speed_fines","Mobile camera",2518,,
"ACT","Major Cities of Australia","65 and over","speed_fines","Police issued",55,,
"NSW","Inner Regional Australia","0-16","speed_fines","Police issued",61,,9
"NSW","Inner Regional Australia","17-25","speed_fines","Police issued",17215,,138
"NSW","Inner Regional Australia","26-39","speed_fines","Police issued",26714,,144
"NSW","Inner Regional Australia","40-64","speed_fines","Police issued",27528,,58
"NSW","Inner Regional Australia","65 and over","speed_fines","Police issued",6294,,2
"NSW","Major Cities of Australia","0-16","speed_fines","Police issued",49,,23
"NSW","Major Cities of Australia","17-25","speed_fines","Police issued",21353,,422
"NSW","Major Cities of Australia","26-39","speed_fines","Police issued",24807,,333
"NSW","Major Cities of Australia","40-64","speed_fines","Police issued",21636,,150
"NSW","Major Cities of Australia","65 and over","speed_fines","Police issued",3070,,1
"NSW","Outer Regional Australia","0-16","speed_fines","Police issued",14,,4
"NSW","Outer Regional Australia","17-25","speed_fines","Police issued",4374,,26
"NSW","Outer Regional Australia","26-39","speed_fines","Police issued",7449,,30
"NSW","Outer Regional Australia","40-64","speed_fines","Police issued",8871,,17
"NSW","Outer Regional Australia","65 and over","speed_fines","Police issued",2346,,4
"NSW","Remote Australia","17-25","speed_fines","Police issued",282,,8
"NSW","Remote Australia","26-39","speed_fines","Police issued",555,,4
"NSW","Remote Australia","40-64","speed_fines","Police issued",664,,3
"NSW","Remote Australia","65 and over","speed_fines","Police issued",175,,0
"NSW","Unknown","0-16","speed_fines","Police issued",2,,0
"NSW","Unknown","17-25","speed_fines","Police issued",510,,6
"NSW","Unknown","26-39","speed_fines","Police issued",664,,7
"NSW","Unknown","40-64","speed_fines","Police issued",644,,2
"NSW","Unknown","65 and over","speed_fines","Police issued",130,,1
"NSW","Unknown","Unknown","speed_fines","Fixed camera",421099,,
"NSW","Unknown","Unknown","speed_fines","Mobile camera",36506,,
"NSW","Unknown","Unknown","speed_fines","Red light camera",248229,,
"NSW","Very Remote Australia","0-16","speed_fines","Police issued",1,,0
"NSW","Very Remote Australia","17-25","speed_fines","Police issued",46,,0
"NSW","Very Remote Australia","26-39","speed_fines","Police issued",91,,1
"NSW","Very Remote Australia","40-64","speed_fines","Police issued",83,,0
"NSW","Very Remote Australia","65 and over","speed_fines","Police issued",21,,0
"NT","Unknown","0-16","speed_fines","Mobile camera",30,,
"NT","Unknown","0-16","speed_fines","Police issued",15,0,1
"NT","Unknown","0-16","speed_fines","Red light camera",12,,
"NT","Unknown","17-25","speed_fines","Mobile camera",4166,,
"NT","Unknown","17-25","speed_fines","Police issued",673,12,62
"NT","Unknown","17-25","speed_fines","Red light camera",810,,
"NT","Unknown","26-39","speed_fines","Mobile camera",10368,,
"NT","Unknown","26-39","speed_fines","Police issued",1308,24,99
"NT","Unknown","26-39","speed_fines","Red light camera",2607,,
"NT","Unknown","40-64","speed_fines","Mobile camera",12610,,
"NT","Unknown","40-64","speed_fines","Police issued",1246,,
"NT","Unknown","40-64","speed_fines","Red light camera",3803,,
"NT","Unknown","65 and over","speed_fines","Mobile camera",3223,,
"NT","Unknown","65 and over","speed_fines","Police issued",200,8,52
"NT","Unknown","65 and over","speed_fines","Red light camera",765,,
"NT","Unknown","Unknown","speed_fines","Mobile camera",1188,,
"NT","Unknown","Unknown","speed_fines","Police issued",1,0,1
"NT","Unknown","Unknown","speed_fines","Red light camera",281,,
"QLD","Unknown","Unknown","speed_fines","Average speed camera",9790,,
"QLD","Unknown","Unknown","speed_fines","Fixed camera",263939,,
"QLD","Unknown","Unknown","speed_fines","Mobile camera",469785,,
"QLD","Unknown","Unknown","speed_fines","Police issued",117112,,
"SA","Unknown","0-16","speed_fines","Fixed camera",4,0,0
"SA","Unknown","0-16","speed_fines","Mobile camera",6,0,0
"SA","Unknown","0-16","speed_fines","Other",0,0,0
"SA","Unknown","0-16","speed_fines","Police issued",11,8,1
"SA","Unknown","17-25","speed_fines","Fixed camera",5725,0,0
"SA","Unknown","17-25","speed_fines","Mobile camera",10095,0,0
"SA","Unknown","17-25","speed_fines","Other",1,0,0
"SA","Unknown","17-25","speed_fines","Police issued",8543,27,69
"SA","Unknown","26-39","speed_fines","Fixed camera",14273,0,0
"SA","Unknown","26-39","speed_fines","Mobile camera",26844,0,0
"SA","Unknown","26-39","speed_fines","Other",2,0,0
"SA","Unknown","26-39","speed_fines","Police issued",15231,32,109
"SA","Unknown","40-64","speed_fines","Fixed camera",26455,0,0
"SA","Unknown","40-64","speed_fines","Mobile camera",44291,0,0
"SA","Unknown","40-64","speed_fines","Other",1,0,0
