"JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
"ACT","Major Cities of Australia","0-16","unlicensed_driving","Police issued",11,13,22
"ACT","Major Cities of Australia","17-25","unlicensed_driving","Police issued",84,30,149
"ACT","Major Cities of Australia","26-39","unlicensed_driving","Police issued",104,118,340
"ACT","Major Cities of Australia","40-64","unlicensed_driving","Police issued",58,54,191
"ACT","Major Cities of Australia","65 and over","unlicensed_driving","Police issued",3,0,6
"NSW","Inner Regional Australia","0-16","unlicensed_driving","Police issued",18,,164
"NSW","Inner Regional Australia","17-25","unlicensed_driving","Police issued",469,,1960
"NSW","Inner Regional Australia","26-39","unlicensed_driving","Police issued",1040,,3375
"NSW","Inner Regional Australia","40-64","unlicensed_driving","Police issued",704,,1999
"NSW","Inner Regional Australia","65 and over","unlicensed_driving","Police issued",66,,134
"NSW","Major Cities of Australia","0-16","unlicensed_driving","Police issued",35,,368
"NSW","Major Cities of Australia","17-25","unlicensed_driving","Police issued",1146,,5769
"NSW","Major Cities of Australia","26-39","unlicensed_driving","Police issued",2119,,8370
"NSW","Major Cities of Australia","40-64","unlicensed_driving","Police issued",1344,,5386
"NSW","Major Cities of Australia","65 and over","unlicensed_driving","Police issued",90,,266
"NSW","Major Cities of Australia","Unknown","unlicensed_driving","Police issued",0,,1
"NSW","Outer Regional Australia","0-16","unlicensed_driving","Police issued",2,,92
"NSW","Outer Regional Australia","17-25","unlicensed_driving","Police issued",138,,473
"NSW","Outer Regional Australia","26-39","unlicensed_driving","Police issued",276,,926
"NSW","Outer Regional Australia","40-64","unlicensed_driving","Police issued",195,,581
"NSW","Outer Regional Australia","65 and over","unlicensed_driving","Police issued",24,,59
"NSW","Remote Australia","0-16","unlicensed_driving","Police issued",4,,8
"NSW","Remote Australia","17-25","unlicensed_driving","Police issued",16,,88
"NSW","Remote Australia","26-39","unlicensed_driving","Police issued",21,,137
"NSW","Remote Australia","40-64","unlicensed_driving","Police issued",11,,80
"NSW","Remote Australia","65 and over","unlicensed_driving","Police issued",0,,5
"NSW","Unknown","0-16","unlicensed_driving","Police issued",0,,6
"NSW","Unknown","17-25","unlicensed_driving","Police issued",26,,128
"NSW","Unknown","26-39","unlicensed_driving","Police issued",61,,204
"NSW","Unknown","40-64","unlicensed_driving","Police issued",33,,135
"NSW","Unknown","65 and over","unlicensed_driving","Police issued",6,,13
"NSW","Very Remote Australia","0-16","unlicensed_driving","Police issued",0,,1
"NSW","Very Remote Australia","17-25","unlicensed_driving","Police issued",2,,29
"NSW","Very Remote Australia","26-39","unlicensed_driving","Police issued",8,,56
"NSW","Very Remote Australia","40-64","unlicensed_driving","Police issued",5,,22
"NSW","Very Remote Australia","65 and over","unlicensed_driving","Police issued",0,,1
