"YEAR","JURISDICTION","METRIC","Sum(COUNT)","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
2008,"ACT","positive_breath_tests",1887,,,
2008,"NSW","positive_breath_tests",27368,,,
2008,"NT","positive_breath_tests",9460,,,
2008,"QLD","positive_breath_tests",26975,,,
2008,"SA","positive_breath_tests",10467,,,
2008,"TAS","positive_breath_tests",4563,,,
2008,"VIC","positive_breath_tests",19190,,,
2008,"WA","positive_breath_tests",14532,,,
2009,"ACT","positive_breath_tests",1628,,,
2009,"NSW","positive_breath_tests",26595,,,
2009,"NT","positive_breath_tests",10990,,,
2009,"QLD","positive_breath_tests",32696,,,
2009,"SA","positive_breath_tests",10954,,,
2009,"TAS","positive_breath_tests",5120,,,
2009,"VIC","positive_breath_tests",18246,,,
2009,"WA","positive_breath_tests",13039,,,
2010,"ACT","positive_breath_tests",1447,,,
2010,"NSW","positive_breath_tests",24411,,,
2010,"NT","positive_breath_tests",10842,,,
2010,"QLD","positive_breath_tests",33638,,,
2010,"SA","positive_breath_tests",10172,,,
2010,"TAS","positive_breath_tests",3895,,,
2010,"VIC","positive_breath_tests",16297,,,
2010,"WA","positive_breath_tests",11595,,,
2011,"ACT","positive_breath_tests",1488,,,
2011,"NSW","positive_breath_tests",22117,,,
2011,"NT","positive_breath_tests",8914,,,
2011,"QLD","positive_breath_tests",27264,,,
2011,"SA","positive_breath_tests",10034,,,
2011,"TAS","positive_breath_tests",3527,,,
2011,"VIC","positive_breath_tests",13925,,,
2011,"WA","positive_breath_tests",10644,,,
2012,"ACT","positive_breath_tests",1418,,,
2012,"NSW","positive_breath_tests",19982,,,
2012,"NT","positive_breath_tests",9332,,,
2012,"QLD","positive_breath_tests",25320,,,
2012,"SA","positive_breath_tests",9267,,,
2012,"TAS","positive_breath_tests",2916,,,
2012,"VIC","positive_breath_tests",13033,,,
2012,"WA","positive_breath_tests",9737,,,
2013,"ACT","positive_breath_tests",1399,,,
2013,"NSW","positive_breath_tests",20193,,,
2013,"NT","positive_breath_tests",12395,,,
2013,"QLD","positive_breath_tests",25291,,,
2013,"SA","positive_breath_tests",8890,,,
2013,"TAS","positive_breath_tests",2782,,,
2013,"VIC","positive_breath_tests",11442,,,
2013,"WA","positive_breath_tests",8636,,,
2014,"ACT","positive_breath_tests",1267,,,
2014,"NSW","positive_breath_tests",19531,,,
2014,"NT","positive_breath_tests",13562,,,
2014,"QLD","positive_breath_tests",23023,,,
2014,"SA","positive_breath_tests",8154,,,
2014,"TAS","positive_breath_tests",2585,,,
2014,"VIC","positive_breath_tests",12062,,,
2014,"WA","positive_breath_tests",11034,,,
2015,"ACT","positive_breath_tests",1134,,,
2015,"NSW","positive_breath_tests",18750,,,
2015,"NT","positive_breath_tests",14192,,,
2015,"QLD","positive_breath_tests",20357,,,
2015,"SA","positive_breath_tests",8208,,,
2015,"TAS","positive_breath_tests",2327,,,
2015,"VIC","positive_breath_tests",9315,,,
2015,"WA","positive_breath_tests",10071,,,
2016,"ACT","positive_breath_tests",1005,,,
2016,"NSW","positive_breath_tests",17442,,,
2016,"NT","positive_breath_tests",7571,,,
2016,"QLD","positive_breath_tests",18673,,,
2016,"SA","positive_breath_tests",5155,,,
2016,"TAS","positive_breath_tests",2322,,,
2016,"VIC","positive_breath_tests",10337,,,
2016,"WA","positive_breath_tests",8912,,,
2017,"ACT","positive_breath_tests",1057,,,
2017,"NSW","positive_breath_tests",18022,,,
2017,"NT","positive_breath_tests",7846,,,
2017,"QLD","positive_breath_tests",16489,,,
2017,"SA","positive_breath_tests",6007,,,
2017,"TAS","positive_breath_tests",2070,,,
2017,"VIC","positive_breath_tests",9969,,,
2017,"WA","positive_breath_tests",9062,,,
2018,"ACT","positive_breath_tests",1114,,,
2018,"NSW","positive_breath_tests",17989,,,
2018,"NT","positive_breath_tests",7672,,,
2018,"QLD","positive_breath_tests",16773,,,
2018,"SA","positive_breath_tests",4997,,,
2018,"TAS","positive_breath_tests",1723,,,
2018,"VIC","positive_breath_tests",7025,,,
2018,"WA","positive_breath_tests",7550,,,
2019,"ACT","positive_breath_tests",933,,,
2019,"NSW","positive_breath_tests",17084,,,
2019,"NT","positive_breath_tests",7775,,,
2019,"QLD","positive_breath_tests",16685,,,
2019,"SA","positive_breath_tests",4985,,,
2019,"TAS","positive_breath_tests",1805,,,
2019,"VIC","positive_breath_tests",9235,,,
2019,"WA","positive_breath_tests",6878,,,
2020,"ACT","positive_breath_tests",888,,,
2020,"NSW","positive_breath_tests",13540,,,
2020,"NT","positive_breath_tests",7362,,,
2020,"QLD","positive_breath_tests",16060,,,
2020,"SA","positive_breath_tests",4400,,,
2020,"VIC","positive_breath_tests",4976,,,
2020,"WA","positive_breath_tests",7510,,,
2021,"ACT","positive_breath_tests",767,,,
2021,"NSW","positive_breath_tests",12980,,,
2021,"NT","positive_breath_tests",5492,,,
2021,"QLD","positive_breath_tests",16402,,,
2021,"SA","positive_breath_tests",4062,,,
2021,"VIC","positive_breath_tests",6363,,,
2021,"WA","positive_breath_tests",7417,,,
2022,"ACT","positive_breath_tests",847,,,
2022,"NSW","positive_breath_tests",15794,,,
2022,"NT","positive_breath_tests",5120,,,
2022,"QLD","positive_breath_tests",17007,,,
2022,"SA","positive_breath_tests",4556,,,
2022,"VIC","positive_breath_tests",8280,,,
2022,"WA","positive_breath_tests",7331,,,
2023,"ACT","positive_breath_tests",742,,68,742
2023,"NSW","positive_breath_tests",13971,4098,,9873
2023,"NT","positive_breath_tests",7722,,449,1155
2023,"QLD","positive_breath_tests",15756,,,15756
2023,"SA","positive_breath_tests",4333,1390,251,2943
2023,"VIC","positive_breath_tests",8257,,,
2023,"WA","positive_breath_tests",8299,2150,155,6149
