"YEAR","JURISDICTION","METRIC","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
2008,"ACT","mobile_phone_use",2060,,
2008,"NSW","mobile_phone_use",40882,,
2008,"NSW","speed_fines",590408,,
2008,"NT","mobile_phone_use",671,,
2008,"NT","speed_fines",23865,,
2008,"QLD","mobile_phone_use",28499,,
2008,"QLD","speed_fines",502886,,
2008,"SA","mobile_phone_use",11411,,
2008,"SA","speed_fines",119500,,
2008,"TAS","mobile_phone_use",6780,,
2008,"TAS","speed_fines",59962,,
2008,"VIC","mobile_phone_use",49739,,
2008,"VIC","speed_fines",1114036,,
2008,"WA","mobile_phone_use",15957,,
2008,"WA","speed_fines",228822,,
2009,"ACT","mobile_phone_use",1890,,
2009,"NSW","mobile_phone_use",41167,,
2009,"NSW","speed_fines",513616,,
2009,"NT","mobile_phone_use",1106,,
2009,"NT","speed_fines",19893,,
2009,"QLD","mobile_phone_use",33352,,
2009,"QLD","speed_fines",475870,,
2009,"SA","mobile_phone_use",14167,,
2009,"SA","speed_fines",107676,,
2009,"TAS","mobile_phone_use",5665,,
2009,"TAS","speed_fines",67768,,
2009,"VIC","mobile_phone_use",53101,,
2009,"VIC","speed_fines",1136590,,
2009,"WA","mobile_phone_use",14804,,
2009,"WA","speed_fines",254858,,
2010,"ACT","mobile_phone_use",2407,,
2010,"ACT","speed_fines",58705,,
2010,"NSW","mobile_phone_use",51104,,
2010,"NSW","speed_fines",390746,,
2010,"NT","mobile_phone_use",998,,
2010,"NT","speed_fines",26775,,
2010,"QLD","mobile_phone_use",33013,,
2010,"QLD","speed_fines",440622,,
2010,"SA","mobile_phone_use",14139,,
2010,"SA","speed_fines",91335,,
2010,"TAS","mobile_phone_use",3735,,
2010,"TAS","speed_fines",37376,,
2010,"VIC","mobile_phone_use",54728,,
2010,"VIC","speed_fines",1172460,,
2010,"WA","mobile_phone_use",11705,,
2010,"WA","speed_fines",300344,,
2011,"ACT","mobile_phone_use",2284,,
2011,"ACT","speed_fines",56719,,
2011,"NSW","mobile_phone_use",46714,,
2011,"NSW","speed_fines",389649,,
2011,"NT","mobile_phone_use",729,,
2011,"NT","speed_fines",24633,,
2011,"QLD","mobile_phone_use",30389,,
2011,"QLD","speed_fines",588714,,
2011,"SA","mobile_phone_use",13402,,
2011,"SA","speed_fines",61859,,
2011,"TAS","mobile_phone_use",3241,,
2011,"TAS","speed_fines",24427,,
2011,"VIC","mobile_phone_use",52630,,
2011,"VIC","speed_fines",1151555,,
2011,"WA","mobile_phone_use",10485,,
2011,"WA","speed_fines",558552,,
2012,"ACT","mobile_phone_use",1722,,
2012,"ACT","speed_fines",54201,,
2012,"NSW","mobile_phone_use",42900,,
2012,"NSW","speed_fines",432586,,
2012,"NT","mobile_phone_use",722,,
2012,"NT","speed_fines",27730,,
2012,"QLD","mobile_phone_use",28548,,
2012,"QLD","speed_fines",653679,,
2012,"SA","mobile_phone_use",11623,,
2012,"SA","speed_fines",54773,,
2012,"TAS","mobile_phone_use",2141,,
2012,"TAS","speed_fines",7410,,
2012,"VIC","mobile_phone_use",61497,,
2012,"VIC","speed_fines",1185037,,
2012,"WA","mobile_phone_use",17822,,
2012,"WA","speed_fines",588746,,
2013,"ACT","mobile_phone_use",1356,,
2013,"ACT","speed_fines",51948,,
2013,"NSW","mobile_phone_use",33514,,
2013,"NSW","speed_fines",426904,,
2013,"NT","mobile_phone_use",1058,,
2013,"NT","speed_fines",24536,,
2013,"QLD","mobile_phone_use",27998,,
2013,"QLD","speed_fines",762905,,
2013,"SA","mobile_phone_use",12560,,
2013,"SA","speed_fines",74391,,
2013,"TAS","mobile_phone_use",2914,,
2013,"TAS","speed_fines",7517,,
2013,"VIC","mobile_phone_use",52452,,
2013,"VIC","speed_fines",1015986,,
2013,"WA","mobile_phone_use",14563,,
2013,"WA","speed_fines",543491,,
2014,"ACT","mobile_phone_use",1115,,
2014,"ACT","speed_fines",45120,,
2014,"NSW","mobile_phone_use",34952,,
2014,"NSW","speed_fines",468465,,
2014,"NT","mobile_phone_use",517,,
2014,"NT","speed_fines",22871,,
2014,"QLD","mobile_phone_use",25068,,
2014,"QLD","speed_fines",1004090,,
2014,"SA","mobile_phone_use",11886,,
2014,"SA","speed_fines",100562,,
2014,"TAS","mobile_phone_use",3256,,
2014,"TAS","speed_fines",9250,,
2014,"VIC","mobile_phone_use",41448,,
2014,"VIC","speed_fines",1307924,,
2014,"WA","mobile_phone_use",14377,,
2014,"WA","speed_fines",711518,,
2015,"ACT","mobile_phone_use",873,,
2015,"ACT","speed_fines",50640,,
2015,"NSW","mobile_phone_use",37989,,
2015,"NSW","speed_fines",486571,,
2015,"NT","mobile_phone_use",492,,
2015,"NT","speed_fines",24928,,
2015,"QLD","mobile_phone_use",23048,,
2015,"QLD","speed_fines",1076622,,
2015,"SA","mobile_phone_use",12446,,
2015,"SA","speed_fines",85282,,
2015,"TAS","mobile_phone_use",3273,,
2015,"TAS","speed_fines",15220,,
2015,"VIC","mobile_phone_use",33598,,
2015,"VIC","speed_fines",1306201,,
2015,"WA","mobile_phone_use",16666,,
2015,"WA","speed_fines",752276,,
2016,"ACT","mobile_phone_use",1120,,
2016,"ACT","speed_fines",55750,,
2016,"NSW","mobile_phone_use",38918,,
2016,"NSW","speed_fines",494676,,
2016,"NT","mobile_phone_use",535,,
2016,"NT","speed_fines",22239,,
2016,"QLD","mobile_phone_use",17213,,
2016,"QLD","speed_fines",659305,,
2016,"SA","mobile_phone_use",11153,,
2016,"SA","speed_fines",182856,,
2016,"TAS","mobile_phone_use",3191,,
2016,"TAS","speed_fines",15977,,
2016,"VIC","mobile_phone_use",27925,,
2016,"VIC","speed_fines",1266642,,
2016,"WA","mobile_phone_use",14926,,
2016,"WA","speed_fines",567954,,
2017,"ACT","mobile_phone_use",1299,,
2017,"ACT","speed_fines",52913,,
2017,"NSW","mobile_phone_use",41020,,
2017,"NSW","non_wearing_seatbelts",22954,,
2017,"NSW","speed_fines",731953,,
2017,"NT","mobile_phone_use",546,,
2017,"NT","speed_fines",22556,,
2017,"QLD","mobile_phone_use",15043,,
2017,"QLD","speed_fines",733717,,
